# BEGIN PLOT
LegendOnly=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR0.5_muF0.5.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR2_muF2.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/wjets-13TeV.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
DrawOnly=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR0.5_muF0.5.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR2_muF2.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/wjets-13TeV.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
Title=Dijet differential cross section v.s. $\Delta y_{12}$ 
RatioPlotMode=default
RatioPlotReference=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
XLabel=$\Delta y_{12}$
YLabel=$d\sigma_{W+\geq2j}/d\Delta y_{12}$ [pb]
Legend=1
RatioPlotYMin=0.2
# END PLOT

# BEGIN HISTO1D //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
Title=HEJ $pp\rightarrow Wjj$
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
Path=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR2_muF2.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
Title=HEJ\_W\_muR2\_muF2
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.117647e-01	4.258816e+00	8.915613e-03	8.915613e-03
4.117647e-01	8.235294e-01	4.026666e+00	8.110963e-03	8.110963e-03
8.235294e-01	1.235294e+00	3.342869e+00	6.936956e-03	6.936956e-03
1.235294e+00	1.647059e+00	2.702690e+00	6.116565e-03	6.116565e-03
1.647059e+00	2.058824e+00	2.071375e+00	6.152520e-03	6.152520e-03
2.058824e+00	2.470588e+00	1.508298e+00	8.262595e-03	8.262595e-03
2.470588e+00	2.882353e+00	1.042777e+00	4.912989e-03	4.912989e-03
2.882353e+00	3.294118e+00	6.837908e-01	5.361649e-03	5.361649e-03
3.294118e+00	3.705882e+00	4.245046e-01	3.623636e-03	3.623636e-03
3.705882e+00	4.117647e+00	2.559346e-01	2.355163e-03	2.355163e-03
4.117647e+00	4.529412e+00	1.452108e-01	3.022617e-03	3.022617e-03
4.529412e+00	4.941176e+00	8.082562e-02	2.484572e-03	2.484572e-03
4.941176e+00	5.352941e+00	4.083324e-02	1.198578e-03	1.198578e-03
5.352941e+00	5.764706e+00	1.866989e-02	7.155994e-04	7.155994e-04
5.764706e+00	6.176471e+00	8.159154e-03	8.435154e-04	8.435154e-04
6.176471e+00	6.588235e+00	3.441275e-03	2.973125e-04	2.973125e-04
6.588235e+00	7.000000e+00	1.310687e-03	1.550189e-04	1.550189e-04
# END HISTO1D


# BEGIN HISTO1D //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/wjets-13TeV.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
ErrorBars=1
LineColor=orange
LineStyle=solid
Path=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/wjets-13TeV.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
ScaledBy=1.74872898404042961e-03
Title=Pythia $pp\rightarrow Wjj$
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.117647e-01	1.622321e+00	8.300515e-02	8.300515e-02
4.117647e-01	8.235294e-01	1.613827e+00	8.278758e-02	8.278758e-02
8.235294e-01	1.235294e+00	1.252840e+00	7.294315e-02	7.294315e-02
1.235294e+00	1.647059e+00	1.303801e+00	7.441188e-02	7.441188e-02
